,Ruling,Name,Quote,Description,Date
49,true,Instagram posts,“An 11-year-old boy saved the lives of two people on the same day.”,a post,"April 24, 2023 "
50,true,Kelda Helen Roys,"Infertility is treated differently than other issues and ""often excluded from insurance coverage""",Twitter,"April 26, 2023 "
51,true,Francis Suarez,"“Just last year,” Miami-Dade Public Schools “had over 14,000 new children, 10,000 of which came from four countries of Cuba, Nicaragua, Venezuela and Haiti.”",a TV interview,"May 21, 2023 "
52,true,Tim Scott,"“For African American families in particular, the homeownership rate remains relatively unchanged since 1968, the year the Fair Housing Act was signed into law.”",Senate Banking Committee press release,"April 11, 2023 "
53,true,Robin Vos,"“When a basketball player or football or baseball player from another team plays in Wisconsin, that one game's salary, they pay Wisconsin income tax on it. ... So, if for some reason we do not have the Brewers in Wisconsin all of those player salaries that generate dollars for the State of Wisconsin go away.""",Podcast,"March 9, 2023 "
54,true,Facebook posts,"“If you need Girl Scout cookies this year and don’t have a local troop to support, please consider buying from Troop 6000, which is entirely made up of girls living in NYC’s homeless shelters.”",a Facebook post,"February 3, 2023 "
55,true,Jonathan Martin,“Joe Biden was older on his first day as president than Ronald Reagan was on his last day.”,"a roundtable on ABC's ""This Week""","April 30, 2023 "
56,true,Kirsten Gillibrand,“Many law enforcement agencies didn’t submit their (hate crime) data to the FBI.”,a speech at John Jay College of Criminal Justice,"March 20, 2023 "
57,true,Paul Ryan,"""WOW county swing suburban voters (in Wisconsin) don't vote for Donald Trump.”",TV interview,"February 23, 2023 "
58,true,Ron DeSantis,Manhattan District Attorney Alvin Bragg “has downgraded over 50% of the felonies to misdemeanors.”,a news conference,"March 20, 2023 "
59,true,Fentrice Driskell,"""$1 of every $3 (Ron DeSantis) spends comes from the federal government.""",a press conference,"March 7, 2023 "
60,true,Robert Ortt,"If New York’s proposed limits on natural gas in buildings take effect, the grid today can’t handle the increased electric load.",,"January 20, 2023 "
61,true,Tony Evers,"“Wisconsin is the nation’s top cranberry producer — in fact, our farmers harvest around 60 percent of the country’s crop.”",Twitter,"December 28, 2022 "
62,true,Morgan Luttrell,"""Biden drained America's Strategic Petroleum Reserves to the lowest level since 1984.""",a tweet,"January 10, 2023 "
63,true,Melissa Agard,"""Historically, our spring elections (including for state Supreme Court) have a smaller turnout associated with them.""",TV interview,"January 3, 2023 "
64,true,Tammy Baldwin,"""Latina workers make 54 cents for every dollar earned by white, non-Hispanic men.""",Twitter,"December 8, 2022 "
65,true,Kevin Brady,Joe Biden’s $36 billion for a union pension fund is “the largest private pension bailout in American history.”,a statement,"December 8, 2022 "
66,true,Elise Stefanik,Proposed rule would limit milk for WIC participants,a news release,"November 17, 2022 "
67,true,Bryan Steil,"In Milwaukee, ""The (homicide) rate has nearly doubled in the past two years.""",Twitter,"November 15, 2022 "
68,true,Joe Biden,“Gas prices are down back to where they were before Russia invaded Ukraine.”,a speech ,"November 29, 2022 "
69,true,Joe Manchin,West Virginia is poised to “receive $25M for 160 orphaned well clean-up projects across the state.”,a tweet,"August 26, 2022 "
70,true,Everytown for Gun Safety,“Kari Lake is opposed to red flag laws.”,an ad,"October 10, 2022 "
71,true,Liquid Death,"In Georgia, it's ""illegal to give people water within 150 feet of a polling place"" and ""punishable by up to a year in prison.""",an ad,"October 27, 2022 "
72,true,Ashley Hinson,"Nancy Pelosi gave “$30,000 … to boost @LizMathis1’s campaign”",a tweet,"October 18, 2022 "
73,true,Jevin Hodge,David Schweikert has “been convicted of 11 House ethics violations.”,a tweet,"September 30, 2022 "
74,true,A Better Wisconsin Together,"Says Tim Michels ""opposes closing the loophole that allows domestic abusers to buy guns.""",Campaign ad,"September 12, 2022 "
75,true,West Virginia Republican Party,“Overdoses reached an all-time high in 2021.”,a tweet,"August 23, 2022 "
76,true,Democratic Senatorial Campaign Committee,"Herschel Walker misled about “personally treating 4,500 veterans per year,” about “graduating from college” and about “working in law enforcement.”",ads,"September 17, 2022 "
77,true,Kathy Hoffman,"“Since 2019, I've successfully lobbied for the funds to add hundreds of school counselors, lowering our student to school counselor ratio by 20%.”",a tweet,"July 28, 2022 "
78,true,Elizabeth Warren,"""40% of the folks who have student loans do not have a college diploma, four-year diploma. These are people who are truck drivers and who are nail technicians and nurses’ aides.”",an interview on CNN,"August 28, 2022 "
79,true,Instagram posts,"Image claims to show a list of ""Republican members of Congress whose PPP loans were forgiven.""",an Instagram post,"August 24, 2022 "
80,true,League of Conservation Voters,Says Republican U.S. Sen. Ron Johnson “called climate change ‘bull----’ during a record heatwave” and “raked in over $700k in fossil fuel cash.”,Twitter,"August 13, 2022 "
81,true,Francesca Hong,"""In the Wisconsin State Assembly this session, more than 75% of GOP bills received a public hearing. Meanwhile, the GOP allowed less than 2% of Democratic bills to have a hearing.""",a tweet,"May 18, 2022 "
82,true,Greg Abbott,Texas' public high school graduation rate is at 90% overall.,a tweet,"May 15, 2022 "
83,true,Abigail Spanberger,“The four big meat packers are raking in record profits … ”,an op-ed.,"June 16, 2022 "
84,true,Levar Stoney,"“In Virginia, Black people are eight times (8X) more likely than white people to die of gun homicide.”",a tweet.,"June 16, 2022 "
85,true,Tony Evers,"“Wisconsin's archaic abortion ban is older than 20 states.""",Campaign email,"June 13, 2022 "
86,true,Democratic Party of Wisconsin,"""The tax carve out (Ron) Johnson spearheaded overwhelmingly benefited the wealthiest, over small businesses.""",News release,"April 29, 2022 "
87,true,Cavalier Johnson,"In a recent year, the Milwaukee Police Department ""collected more guns per capita off the streets than in New York.”",TV interview,"April 9, 2022 "
88,true,Gary Black,"In 2020, when Raphael Warnock ran a campaign ad featuring himself with a beagle, “that wasn’t his dog.”",a radio interview,"May 13, 2022 "
89,true,Kelda Helen Roys,"Because of U.S. Senate rules, Democrats need ""more than a majority ... to codify Roe vs. Wade.""",TV interview,"May 8, 2022 "
90,true,Eric Toney,"The state crime lab under Attorney General Josh Kaul ""is testing significantly less items than former AG Brad Schimel and is still taking longer to test many categories of key items in comparison to Schimel, including DNA.""",News release,"April 14, 2022 "
91,true,Andrea Stewart-Cousins,"When the New York State Senate voted to legalize abortion in 1970, 12 Republican senators voted in favor of it.",a news conference,"May 3, 2022 "
92,true,Lee Zeldin,“New York leads the U.S. in population loss.”,a tweet,"April 12, 2022 "
93,true,Keith Pekau,We’ve reduced crime to its lowest level in 27 years.,,"April 11, 2022 "
94,true,Kathy Hochul,"Since taking office, Hochul has passed more than 400 new bills",a campaign commercial,"April 19, 2022 "
95,true,Melissa Agard,"Cannabis reform ""is supported by the majority of the residents of our state, including a majority of Republicans.""",Twitter,"April 11, 2022 "
96,true,Jennifer Konfrst,Only 2% of K-12 students would benefit from Iowa’s school voucher bill.,a press release,"March 21, 2022 "
97,true,Tim Kaine,“Virginia women are paid 80 cents for every dollar paid to Virginia men.”,a tweet.,"March 15, 2022 "
98,true,Nikki Fried,"Florida is ""49th in the nation when it comes to (Medicaid) funding” for people with disabilities.",a virtual town hall meeting,"February 21, 2022 "
99,true,Kathy Hochul,“We are No. 1 among all large states in having fully vaccinated teenagers. We are No. 2 in all large states for having fully vaccinated five- to 11- year-olds.”,a news conference,"February 27, 2022 "
100,true,Glenn Grothman,"""The US has made strides in reducing carbon emissions that other parts of the world have not.""",Twitter,"February 3, 2022 "
101,true,Robert Ortt,"“With the ongoing pandemic, our State Park attendance is at the highest it’s ever been.”",a news release,"January 22, 2022 "
102,true,Ted Cruz,"""In 2020, more journalists were killed in Mexico than in any other country in the world.""",a committee meeting,"February 16, 2022 "
103,true,John Cornyn,"""100,000 Americans died of an overdose in a single year.""",a tweet,"February 14, 2022 "
104,true,Jennifer McClellan,“More than half of Virginia’s school buildings are older than 50 years.”,an op-ed.,"February 15, 2022 "
105,true,Tony Evers,Says he has issued more pardons than “any Wisconsin governor in contemporary history.”,News release,"January 13, 2022 "
106,true,Brian Tyler Cohen,"""Iowa Republicans have introduced a bill that would put government-installed cameras in every single classroom to livestream school activities for parents to spy on teachers and children.""",a tweet,"February 2, 2022 "
107,true,Joni Ernst,"In Iowa, “since we have put a number of the voting laws into place over the last several years — voter ID is one of those — we've actually seen voter participation increase, even in off-election years.”",an interview,"January 23, 2022 "
108,true,Roger Williams,"""The number of COVID-19 deaths recorded so far in 2021 has surpassed the total for 2020.""",an email,"December 2, 2021 "
109,true,Jen Psaki,"“You are 17 times more likely to go to the hospital if you’re not vaccinated, 20 times more likely to die.”",a White House press briefing,"January 10, 2022 "
110,true,Iowa Senate Democrats,"Gov. Kim Reynolds, touting $210 million for Iowa broadband, “failed to mention these are actually federal funds approved by Rep. Cindy Axne and signed into law by President Joe Biden.”",a statement on Facebook,"January 5, 2022 "
111,true,NYS Department of Corrections and Community Supervision,"New York is ""leading the nation with the lowest imprisonment rate of any large state”",a news release,"November 8, 2021 "
112,true,Cindy Axne,"“Iowa ranks 45th in the U.S. for internet connectivity.""",a tweet,"November 5, 2021 "
113,true,David Gura,“FUN FACT: West Virginia is home to zero billionaires.”,a tweet,"October 27, 2021 "
114,true,Kelda Helen Roys,Says gubernatorial candidate Rebecca Kleefisch “worked with Scott Walker to sign five abortion restrictions into law that took away services and threatened doctors with prison time for providing safe and legal abortions.”,Email,"September 28, 2021 "
115,true,Randy Feenstra,"The Biden administration ""published a study concluding 4 (of) 5 new cars on the road by 2050 will still require liquid fuels.""",a tweet,"October 5, 2021 "
116,true,Facebook posts,"""Southwest Airlines announce they will no longer terminate employees over the mandate.""",a Facebook post,"October 13, 2021 "
117,true,Mark Pocan,"“The annual Pentagon budget hovers over $750 billion annually, twice that of the much debated Build Back Better Act that costs about $350 billion annually as currently proposed.”",Twitter,"October 3, 2021 "
118,true,Kathryn Moffett Bradford,"“If you look at the hospitalizations at Ruby Memorial in West Virginia, and around the country, 90% to 95% of those hospitalized are unvaccinated.”",comments at a WVU faculty meeting,"September 1, 2021 "
119,true,David McKinley,“Overdose deaths in WV are up 45% from the prior year.”,a tweet,"August 10, 2021 "
120,true,Chris Larson,"The GOP-controlled Legislature has ""refused to act on at least 150"" appointees of Gov. Tony Evers.",Twitter,"September 10, 2021 "
121,true,Mark Pocan,End of eviction moratorium means “millions of Americans” could lose their housing in the middle of a pandemic.,Twitter,"August 27, 2021 "
122,true,Mitt Romney,"The Trump administration worked to free 5,000 Taliban prisoners.",a CNN interview,"August 29, 2021 "
123,true,Mandela Barnes,"In Afghanistan, “over 100 billion dollars spent on military contracts.”",Twitter,"August 16, 2021 "
124,true,Viral image,A photo shows two COVID-19 patients lying on the floor awaiting treatment in Florida.,,"August 18, 2021 "
125,true,Craig Thompson,"""We’ve got 115,000 miles of roads in this state and 90% is owned by the locals.”",TV interview,"July 5, 2021 "
126,true,Gwen Moore,"“324,000 pregnant people experience domestic violence during their pregnancy.”",Twitter,"August 3, 2021 "
127,true,Chip Roy,A quorum-breaking Texas Democrat said in 2007 that mail-in ballot fraud “is the greatest source of voter fraud in this state.”,a hearing,"July 29, 2021 "
128,true,Mandela Barnes,"“It’s been over 50 years since minimum (wage) and inflation parted ways, then over a decade since the federal minimum went up at all.”",Twitter,"May 23, 2021 "
129,true,Glenn Grothman,“We have a record 9.3 million job openings in the U.S.”,Twitter,"June 8, 2021 "
130,true,Mark Born,"“Before the pandemic, just over 40,000 were on continuing UI claims. Now, there are well over 100,000 on state or federal UI benefits.”",Twitter,"June 2, 2021 "
131,true,Lorraine Lewandrowski,It’s not currently “legal for a New York state student to have a glass of fresh whole milk.”,a hearing of the New York Senate Agriculture Committee,"February 24, 2021 "
132,true,Mandela Barnes,"“Since 1978, CEO compensation rose over 1,000% and only 11.9% for average workers.”",Twitter,"May 23, 2021 "
133,true,Tim Kaine,"“New Haven, Conn., had to issue bonds for a bridge after using funds for that bridge to pay for a police misconduct settlement.""",an op-ed on CNBC,"May 24, 2021 "
134,true,Wisconsin Republican Legislative leaders,"Wisconsin’s 2019-21 budget produced the first positive general fund balance since 2000, and the governor’s proposed 2021-23 budget would return it to a deficit.",Twitter,"April 7, 2021 "
135,true,Robert Martwick,Opposition to having a fully elected Chicago Board of Education is in the “super minority.”,a podcast interview,"May 10, 2021 "
136,true,Greg Abbott,“We now have more job openings than we do people who are on unemployment. We have 60% more job openings today than we did the month before the pandemic hit the state of Texas.”,an interview,"May 18, 2021 "
137,true,Lindsay James,"“There are more job openings than there are people on unemployment"" in Iowa.",a tweet,"May 11, 2021 "
138,true,Jeff Jackson,Says he was “one of the 2 (state Senators) who voted against” North Carolina’s body camera law.,a tweet,"May 3, 2021 "
139,true,Kevin Kiley,“San Francisco had twice as many drug overdose deaths as COVID deaths last year.”,a tweet,"April 26, 2021 "
140,true,Kirk Cox,On Virginia’s new marijuana law: “You can have up to one pound with only a $25 fine.”,a radio interview.,"April 7, 2021 "
141,true,Van Wanggaard,Foxconn “is the largest taxpayer in Racine County.”,Statement,"April 19, 2021 "
142,true,Zach Wahls,"“The federal American Rescue Plan will purchase more food from farmers for distribution.""",a weekly newsletter,"April 8, 2021 "
143,true,Pete Buttigieg,“There is racism physically built into some of our highways.”,an interview with The Grio,"April 6, 2021 "
144,true,Greg Abbott,“Twice as many children are in Border Patrol custody under Biden than Trump peak in 2019.”,a tweet,"March 30, 2021 "
145,true,Facebook posts,U.S. Rep. Matt Gaetz was the lone vote in the House against an anti-human trafficking bill.,a Facebook post,"March 30, 2021 "
146,true,Tony Evers,"“There’s still (only) a handful of school districts"" doing no in-person instruction.",TV interview,"March 14, 2021 "
147,true,Jim Justice,West Virginia “is the only state to decline in population over the last 70 years”,a tweet,"March 4, 2021 "
148,true,Terry McAuliffe,"“If you look at the average teacher pay compared to the average pay of your citizens, Virginia ranks last.”",a speech,"March 10, 2021 "
149,true,Barbara Dittrich,"""Pot today is not the weed baby boomers were smoking.""",Column,"February 16, 2021 "
150,true,Beth Wessel-Kroeschell,"""86% of Americans and 82% of gun owners support requiring all gun buyers to pass a background check.""",public comments,"January 22, 2021 "
151,true,Facebook posts,The Georgia House passed a bill that “makes it a misdemeanor to give food or water to voters waiting in line.”,a Facebook post,"March 2, 2021 "
152,true,Chuck Todd,“The filibuster was never an idea of the founding fathers.”,"remarks on NBC's ""Meet the Press""","March 7, 2021 "
153,true,Energy Transfer,“Pipelines do not freeze. They are naturally insulated. They’re buried beneath the ground.”,testimony,"February 26, 2021 "
154,true,Chris Kapenga,"“The National Academy of Medicine points to a significant correlation between marijuana and psychosis, schizophrenia, and other psychotic disorders, particularly in teenagers where the risk of developing schizophrenia increases three fold.”",Twitter,"February 10, 2021 "
155,true,Tom Cotton,"“Becerra supports Bernie’s government takeover of your health care, eliminating your employer-provided coverage.”",a digital ad opposing Xavier Becerra's nomination to be HHS secretary,"February 22, 2021 "
156,true,Tom  Wolf,“We’re the only major gas-producing state in the US that doesn’t have a severance tax.”,a speech,"February 22, 2021 "
157,true,Cory Booker,"“There is a direct connection between discriminatory policies within the USDA and the enormous land loss we have seen among Black farmers over the past century.""",a statement,"February 9, 2021 "
158,true,Beto O'Rourke,"“Energy experts and State House Dems, among others, were warning of this (the Texas power blackout) for years.”",a tweet,"February 16, 2021 "
159,true,Facebook posts,"""The Texas power grid is not part of the US power grid because they wanted to avoid federal regulation.”",a Facebook post,"February 16, 2021 "
160,true,Gordon Hintz,"“We know mask mandates work. There’s enough evidence out there between counties that have done it and counties that haven’t.""",TV interview,"February 5, 2021 "
161,true,Chuck Grassley,"Insulin prices have ""gone THRU THE ROOF for patients/taxpayers bc of manufacturer, health plan & PBM biz practices.""",a tweet,"January 14, 2021 "
162,true,Jenna Wadsworth,"North Carolina Secretary of State Elaine Marshall ""has won more statewide races than probably anyone else alive.""",a tweet,"January 26, 2021 "
163,true,Jennifer Boysko,"“The United States is the only industrialized, modernized country that does not already have a paid family medical leave program in place.”",a committee debate.,"January 18, 2021 "
164,true,Marco Rubio,"Says Joe Biden “has issued more executive fiats than anyone in such a short period of time, ever, more than Obama, more than Trump, more than anyone.”",a tweet,"January 22, 2021 "
165,true,Tony Evers,"""We put $330 million in general school aids — the largest in more than a decade.""",Speech,"January 12, 2021 "
166,true,Pat Toomey,“There will be several thousand dollars in payments going to families with six-figure incomes who’ve had no income interruption whatsoever.”,a hearing,"January 19, 2021 "
167,true,Kirk Cox,Virginia ranks “in the bottom third of states” in administering the COVID-19 vaccine.,a speech.,"January 13, 2021 "
168,true,Devin LeMahieu,"""It takes quite a while on Election Day to load those ballots, which is why we have the 1 a.m. or 3 a.m. ballot dumping in Milwaukee.""",a TV interview,"January 10, 2021 "
169,true,Sarah Godlewski,"“It wasn’t all women that lost jobs (in the December jobs report), it was mostly Black and Latina women. In fact, white women gained employment.”",Twitter,"January 9, 2021 "
170,true,Jake Tapper,The second presidential impeachment of Donald Trump was “the most bipartisan impeachment in American history.”,remarks ,"January 13, 2021 "
171,true,Sherrod Brown,"Summer “protesters outside the White House were met with tear gas, rubber bullets, a full militarized response. While ... rioters were able to breach the Capitol.”",an interview with Ohio reporters,"January 8, 2021 "
172,true,Kim Reynolds,"Before COVID-19,  “more Iowans (were) working than at any other time in our state history.""",a news conference,"January 7, 2021 "
173,true,Mitch McConnell,"""This election actually was not unusually close.""",a Senate floor speech,"January 6, 2021 "
174,true,Joe Biden,"In more than 60 cases, judges “looked at the allegations that Trump was making and determined they were without any merit.”",a speech,"January 7, 2021 "
175,true,Mike Gallagher,“Congress has one job here: to count electoral votes that have in fact been cast by any state.”,a statement,"January 3, 2021 "
176,true,Pat Toomey,"“In my state, as in many other states, we have governors who are closing down businesses again.”",an interview,"December 27, 2020 "
177,true,Chris Larson,“Jurisdictions representing about 80% of WI residents have passed referendums or resolutions in favor of fair maps.”,Twitter,"November 9, 2020 "
178,true,Mike Gallagher,"""New data shows in-person learning isn't driving spikes in cases.""",a tweet,"December 7, 2020 "
179,true,Tim Carpenter,“Wisconsin is one of the few states that doesn’t allow absentee ballots to be processed before Election Day.”,a news release,"December 11, 2020 "
180,true,JB Pritzker,"“Republican elected officials, a network of propaganda publications in the state and some radio shock jocks” were spreading “a lie” about his daughter breaking COVID-19 restrictions.",remarks at a news conference,"November 17, 2020 "
181,true,Mandy Cohen,Says COVID-19 has killed more North Carolinians in a year than the flu has in 10 years.,a press conference,"December 1, 2020 "
182,true,Ralph Northam,"“People of color and those of not, they use marijuana at the same rate. People of color are three times more likely to get arrested and convicted.”",a radio interview.,"December 3, 2020 "
183,true,X posts,"When Donald Trump lost the Iowa caucus to Ted Cruz in 2016, ""he immediately cried that Cruz cheated.”",tweets,"November 18, 2020 "
184,true,Tammy Baldwin,"""We heard from the Department of Homeland Security ... that this was probably the most secure election that’s ever been run in the United States.”",a TV interview,"November 15, 2020 "
185,true,Joe Biden,"""I’ve released 22 years of my tax returns. You can go online and look. (Donald Trump) hasn’t released one.”",a rally,"October 31, 2020 "
186,true,Theresa Greenfield,"Farm bankruptcies are ""at an eight-year high.""",comments at a campaign rally,"October 30, 2020 "
187,true,Roy Cooper,"Says Dan Forest has “missed almost half of the Board of Education meetings during the pandemic.""",a debate,"October 14, 2020 "
188,true,Robyn Vining,My 2018 election was the first time Speaker Robin Vos has lost a Republican-held seat,an interview,"October 25, 2020 "
189,true,Facebook posts,Joe Biden “wants to get rid of something called ‘stepped up basis’” that reduces inheritance taxes.,a post on Facebook,"October 25, 2020 "
190,true,Chris Jacobs,"“While serving as Town Supervisor, Nate McMurray voted to raise taxes on homeowners.”",campaign mailer,"October 22, 2020 "
191,true,Roy Cooper,"Georgia has “almost 100,000 more (COVID-19) cases, almost twice as many deaths and almost 600 more nursing home deaths than North Carolina.”",a debate,"October 14, 2020 "
192,true,Jim Justice,“West Virginia has one of the greatest percentages of veterans in any state.”,a Facebook post,"September 14, 2020 "
193,true,Facebook posts,“Wisconsin Republicans have not passed a single bill in 6 months.”,a Facebook post,"October 4, 2020 "
194,true,Joe Biden,The president's own FBI director said that the greatest domestic terrorist threat is white supremacists.,an NBC town hall ,"October 5, 2020 "
195,true,Phil Scott,"“That 5% (wealth tax) starts at $159,000 per family.”",a debate,"September 29, 2020 "
196,true,Michael Burgess,“In the last 10 years less than half of adults in the U.S. received a flu shot.”,a tweet,"September 19, 2020 "
197,true,Chris Larson,“(Republicans) have the power to overturn the (state of emergency) order by joint resolution and they refuse to do it.”,a tweet,"September 23, 2020 "
198,true,Caleb Rowden,"“Over three months after receiving CARES Act relief funds from the state, the county has still not made those dollars available to help struggling Mid-Missourians.”",a post on Medium,"September 4, 2020 "
199,true,Joe Biden,“Iran has stockpiled 10 times as much enriched uranium as it had” in 2016.,an op-ed on the CNN website,"September 13, 2020 "
200,true,Nick Freitas,Abigail Spanberger “has voted with Nancy Pelosi over 90% of the time…”,a radio interview.,"September 4, 2020 "
201,true,Democratic Congressional Campaign Committee,Nick Freitas “supports a plan letting insurance companies deny coverage for preexisting conditions like asthma or diabetes.”,a TV ad.,"August 26, 2020 "
202,true,Facebook posts,“Video showed police thank (Kyle Rittenhouse) & give him water prior to the killings”,a Facebook post,"August 26, 2020 "
203,true,Chris Larson,"Police are ""20.8 times more likely to kill than be killed by a criminal.""",Facebook post,"August 24, 2020 "
204,true,Michelle Obama,"“In one of the states that determined the outcome” of the 2016 presidential race, “the winning margin averaged out to just two votes per precinct, two votes.”",a Democratic convention speech,"August 17, 2020 "
205,true,National Republican Senatorial Committee,"Cal Cunningham ""voted for over $1 billion in new taxes.”",an ad,"July 17, 2020 "
